index,value
1,h or h is the eighth letter in the iso basic latin alphabet its name in english is aitch pronounced plural aitches or regionally haitch 1
2,the original semitic letter heth most likely represented the voiceless pharyngeal fricative ħ the form of the letter probably stood for a fence or posts
3,the greek eta η in archaic greek alphabets before coming to represent a long vowel still represented a similar sound the voiceless glottal fricative in this context the letter eta is also known as heta to underline this fact thus in the old italic alphabets the letter heta of the euboean alphabet was adopted with its original sound value
4,while etruscan and latin had as a phoneme almost all romance languages lost the sound—romanian later re-borrowed the phoneme from its neighbouring slavic languages and spanish developed a secondary from before losing it again various spanish dialects have developed h as an allophone of or in most spanish-speaking countries and various dialects of portuguese use it as an allophone of h is also used in many spelling systems in digraphs and trigraphs such as which represents in spanish galician old portuguese and english in french and modern portuguese in italian french and english in german czech polish slovak one native word of english and a few loanwords into english and in german
5,for most english speakers the name for the letter is pronounced as and spelled aitch 1 or occasionally eitch the pronunciation and the associated spelling haitch is often considered to be h-adding and is considered nonstandard in england 2 it is however a feature of hiberno-english 3 as well as scattered varieties of edinburgh england and welsh english 4 and in australia and nova scotia
6,the perceived name of the letter affects the choice of indefinite article before initialisms beginning with h for example an h-bomb or a h-bomb the pronunciation may be a hypercorrection formed by analogy with the names of the other letters of the alphabet most of which include the sound they represent 5
7,the haitch pronunciation of h has spread in england being used by approximately 24 of english people born since 1982 6 and polls continue to show this pronunciation becoming more common among younger native speakers despite this increasing number the pronunciation without the sound is still considered to be standard in england although the pronunciation with is also attested as a legitimate variant 2
8,authorities disagree about the history of the letter name the oxford english dictionary says the original name of the letter was ˈaha in latin this became ˈaka in vulgar latin passed into english via old french atʃ and by middle english was pronounced aːtʃ the american heritage dictionary of the english language derives it from french hache from latin haca or hic anatoly liberman suggests a conflation of two obsolete orderings of the alphabet one with h immediately followed by k and the other without any k reciting the former h k l as h a ka el when reinterpreted for the latter h l would imply a pronunciation h a ka for h. 7
9,in english occurs as a single-letter grapheme being either silent or representing the voiceless glottal fricative and in various digraphs such as or silent or or 8 the letter is silent in a syllable rime as in ah ohm dahlia cheetah pooh-poohed as well as in certain other words mostly of french origin such as hour honest herb in american but not british english and vehicle in certain varieties of english initial is often not pronounced in the weak form of some function words including had has have he her him his and in some varieties of english including most regional dialects of england and wales it is often omitted in all words see it was formerly common for an rather than a to be used as the indefinite article before a word beginning with in an unstressed syllable as in an historian but use of a is now more usual see english articles indefinite article in english the pronunciation of as can be analyzed as a voiceless vowel that is when the phoneme precedes a vowel may be realized as a voiceless version of the subsequent vowel for example the word is realized as ɪ̥ɪt 9 h is the eighth most frequently used letter in the english language after s n i o a t and e with a frequency of about 4.2 in words citation needed when h is placed after certain other consonants it modifies their pronunciation in various ways e.g for ch gh ph sh and th
10,in the german language the name of the letter is pronounced following a vowel it often silently indicates that the vowel is long in the word erhöhen the second is mute for most speakers outside of switzerland in 1901 a spelling reform eliminated the silent in nearly all instances of in native german words such as thun do or thür it has been left unchanged in words derived from greek such as theater and thron which continue to be spelled with even after the last german spelling reform
