index,value
0,ak-47 officially known avtomat kalashnikov russian автомат калашникова lit automatic rifle known kalashnikov ak gas-operated assault rifle chambered 7.62×39mm cartridge developed soviet union russian small-arms designer mikhail kalashnikov originating firearm kalashnikov ak family rifles seven decades ak-47 model variants remain popular widely rifles world
1,number 47 refers year rifle finished design work ak-47 began 1945 presented official military trials 1947 1948 fixed-stock version introduced active service selected units soviet army early 1949 ak officially accepted soviet armed forces 9 majority member states warsaw pact
2,model variants owe global popularity reliability harsh conditions low production cost compared contemporary weapons availability virtually geographic region ease use ak manufactured countries seen service armed forces irregular forces insurgencies world 2004 update estimated 500 million firearms worldwide approximately 100 million belong kalashnikov family three-quarters ak-47s 4 model basis development types individual crew-served specialised firearms
3,world war ii sturmgewehr 44 rifle german forces deep impression soviet counterparts 10 11 select-fire rifle chambered new intermediate cartridge 7.92×33mm kurz combined firepower submachine gun range accuracy rifle 12 13 15 july 1943 earlier model sturmgewehr demonstrated people commissariat arms ussr 14 soviets impressed weapon immediately set developing intermediate caliber fully automatic rifle 10 11 replace ppsh-41 submachine guns outdated mosin–nagant bolt-action rifles armed soviet army 15
4,soviets soon developed 7.62×39mm m43 cartridge 14 semi-automatic sks carbine rpd light machine gun 16 shortly world war ii soviets developed ak-47 rifle quickly replaced sks soviet service 17 18 introduced 1959 akm lighter stamped steel version ubiquitous variant entire ak series firearms 1960s soviets introduced rpk light machine gun ak type weapon stronger receiver longer heavy barrel bipod eventually replaced rpd light machine gun 16
5,mikhail kalashnikov began career weapon designer 1941 recuperating shoulder wound received battle bryansk 5 19 kalashnikov stated hospital soldier bed asked soldiers rifle two men germans automatics designed soldier created machine gun soldier called avtomat kalashnikova automatic weapon kalashnikov—ak—and carried year manufacture 1947 20
6,ak-47 best described hybrid previous rifle technology innovations kalashnikov decided design automatic rifle combining best features american m1 german stg 44 21 kalashnikov team access weapons no need reinvent wheel kalashnikov observed lot russian army soldiers ask constructor new weaponry designed difficult questions designer paths successes failures thing clear attempting create new vital good appreciation exists field experiences confirming 19
7,claims kalashnikov copying designs like bulkin tkb-415 22 simonov avs-31 23
8,kalashnikov started work submachine gun design 1942 24 light machine gun design 1943 25 26 early 1944 kalashnikov given 7.62×39mm m43 cartridges informed designers working weapons new soviet small-arms cartridge suggested new weapon lead greater things undertook work new rifle 27 1944 entered design competition new 7.62×39mm semi-automatic gas-operated long stroke piston carbine strongly influenced american m1 garand 28 new rifle class sks-45 carbine fixed magazine gas tube barrel 27 new kalashnikov design lost simonov design 29
9,1946 new design competition initiated develop new rifle 30 kalashnikov submitted entry gas-operated rifle short-stroke gas piston barrel breech-block mechanism similar 1944 carbine curved 30-round magazine 31 kalashnikov rifles ak-1 milled receiver ak-2 stamped receiver proved reliable weapons accepted second round competition designs
10,prototypes known ak-46 rotary bolt two-part receiver separate trigger unit housing dual controls separate safety fire selector switches non-reciprocating charging handle located left weapon 31 32 design similarities stg 44 33 late 1946 rifles tested kalashnikov assistants aleksandr zaitsev suggested major redesign improve reliability kalashnikov reluctant given rifle fared better competitors eventually zaitsev managed persuade kalashnikov
