index,value
0,ak-47 officially know avtomat kalashnikov russian автомат калашникова light automatic rifle know kalashnikov gas operate assault rifle chamber 7.62×39 mm cartridge develop soviet union russian small arm designer mikhail kalashnikov originate firearm kalashnikov ak family rifle seven decade ak-47 model variant remain popular widely rifle world
1,number 47 refer year rifle finish design work ak-47 begin 1945 present official military trial 1947 1948 fix stock version introduce active service select unit soviet army early 1949 ak officially accept soviet armed force 9 majority member state warsaw pact
2,model variant owe global popularity reliability harsh condition low production cost compare contemporary weapon availability virtually geographic region ease use manufacture country see service armed force irregular force insurgency world 2004 update estimate 500 million firearm worldwide approximately 100 million belong kalashnikov family three quarter ak-47s 4 model basis development type individual crew serve specialised firearm
3,world war ii sturmgewehr 44 rifle german force deep impression soviet counterpart 10 11 select fire rifle chamber new intermediate cartridge 7.92×33 mm kurz combine firepower submachine gun range accuracy rifle 12 13 15 july 1943 early model sturmgewehr demonstrate people commissariat arm ussr 14 soviet impressed weapon immediately set develop intermediate caliber fully automatic rifle 10 11 replace ppsh-41 submachine gun outdate mosin nagant bolt action rifle armed soviet army 15
4,soviet soon develop 7.62×39 mm m43 cartridge 14 semi - automatic sk carbine rpd light machine gun 16 shortly world war ii soviet develop ak-47 rifle quickly replace sk soviet service 17 18 introduce 1959 akm light stamp steel version ubiquitous variant entire ak series firearm 1960 soviet introduce light machine gun ak type weapon strong receiver long heavy barrel bipod eventually replace rpd light machine gun 16
5,mikhail kalashnikov begin career weapon designer 1941 recuperate shoulder wound receive battle bryansk 5 19 kalashnikov state hospital soldier bed ask soldier rifle two man germans automatic design soldier create machine gun soldier call avtomat kalashnikova automatic weapon kalashnikov ak carry year manufacture 1947 20
6,ak-47 well describe hybrid previous rifle technology innovation kalashnikov decide design automatic rifle combine good feature american m1 german stg 44 21 kalashnikov team access weapon need reinvent wheel kalashnikov observed lot russian army soldier ask constructor new weaponry design difficult question designer path success failure thing clear attempt create new vital good appreciation exist field experience confirm 19
7,claim kalashnikov copying design bulkin tkb-415 22 simonov 23
8,kalashnikov start work submachine gun design 1942 24 light machine gun design 1943 25 26 early 1944 kalashnikov give 7.62×39 mm m43 cartridge informed designer work weapon new soviet small arm cartridge suggest new weapon lead great thing undertake work new rifle 27 1944 enter design competition new 7.62×39 mm semi - automatic gas operate long stroke piston carbine strongly influence american m1 garand 28 new rifle class sks-45 carbine fix magazine gas tube barrel 27 new kalashnikov design lose simonov design 29
9,1946 new design competition initiate develop new rifle 30 kalashnikov submit entry gas operate rifle short stroke gas piston barrel breech block mechanism similar 1944 carbine curve 30 round magazine 31 kalashnikov rifle mill receiver ak-2 stamp receiver prove reliable weapon accept second round competition design
10,prototype know ak-46 rotary bolt two part receiver separate trigger unit housing dual control separate safety fire selector switch non - reciprocating charge handle locate leave weapon 31 32 design similarity stg 44 33 late 1946 rifle test kalashnikov assistant aleksandr zaitsev suggest major redesign improve reliability kalashnikov reluctant give rifle fare well competitor eventually zaitsev manage persuade kalashnikov
11,november 1947 new prototype ak-47 complete long stroke gas piston barrel upper low receiver combine single receiver selector safety combine single control lever dust cover right rifle bolt - handle simply attach bolt carrier simplified design production rifle army trial series begin early 1948 34 new rifle prove reliable wide range condition convenient handling characteristic 1949 adopt soviet army 7.62 mm kalashnikov rifle 9
12,difficulty initial phase production production model stamp sheet metal receiver mill trunnion butt stock insert stamp body difficulty encounter welding guide ejector rail cause high rejection rate 35 instead halt production heavy 1 machine receiver substitute sheet metal receiver production mill rifle start 1951 officially refer ak-49 base date development start widely know collector current commercial market type 2 ak-47 36 37 costly process use machine receiver accelerate production tooling labor early mosin nagant rifle machine receiver easily adapt 38 partly problem soviet able distribute large number new rifle soldier 1956 time production interim sk rifle continue 35
13,manufacturing difficulty non - milled receiver overcome redesign version designate akm modernize upgrade russian автомат калашникова модернизированный avtomat kalashnikova modernizirovanniy introduce 1959 36 new model stamp sheet metal receiver feature slant muzzle brake end barrel compensate muzzle rise recoil addition hammer retarder add prevent weapon firing battery bolt fully close rapid fully automatic fire 35 refer cyclic rate reducer simply rate reducer effect reduce number round fire minute fully automatic fire roughly one third light previous model 36
14,license unlicensed production kalashnikov weapon abroad exclusively akm variant partially easy production stamp receiver model commonly encounter produce great quantity rifle base kalashnikov design frequently refer ak-47s west correct apply rifle base original receiver type 39 eastern bloc country weapon know simply kalashnikov ak difference mill stamped receiver include use rivet weld stamp receiver placement small dimple magazine stabilization magazine
15,1974 soviet begin replace ak-47 akm rifle new design ak-74 use 5.45×39 mm ammunition new rifle cartridge start manufacture eastern european nations soviet union drastically slow production weapon soviet bloc
